Area name,Year,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,
London,880,845,820,780,760,765,770,770,760,710,685,700,655,645,620,595,570
City of London,5,5,5,10,5,10,10,10,15,15,10,10,10,10,10,15,15
Barking and Dagenham,20,20,20,20,20,20,20,15,20,15,10,10,10,10,10,10,10
Barnet,30,25,25,20,20,20,20,20,20,15,20,20,15,20,20,15,10
Bexley,25,25,25,20,20,25,20,20,25,25,20,20,20,20,20,20,20
Brent,40,30,30,25,25,20,20,20,20,20,20,20,15,15,15,15,15
Bromley,35,35,35,30,30,25,25,25,25,25,25,25,25,25,20,20,20
Camden,35,40,30,30,30,30,35,35,40,35,35,30,25,25,25,20,20
Croydon,40,40,40,30,35,35,30,35,30,30,30,30,30,30,30,30,25
Ealing,30,25,25,25,25,25,25,25,25,20,20,25,20,20,20,20,20
Enfield,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15
Greenwich,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15
Hackney,10,15,15,15,20,15,20,10,10,15,15,20,15,15,15,15,15
Hammersmith and Fulham,20,25,20,25,25,25,25,20,20,25,20,25,20,15,15,15,15
Haringey,15,15,15,20,15,10,15,15,15,10,5,10,10,10,10,10,10
Harrow,25,25,20,25,20,20,15,15,15,15,15,10,15,10,10,10,10
Havering,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20
Hillingdon,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,25,20
Hounslow,30,30,25,25,25,25,25,20,25,20,20,20,20,20,20,20,20
Islington,20,20,20,15,15,20,20,20,20,20,15,15,15,15,15,15,10
Kensington and Chelsea,30,25,30,25,25,25,30,25,25,25,30,25,25,25,15,20,20
Kingston upon Thames,20,20,20,20,20,20,20,20,20,15,15,10,10,15,15,15,10
Lambeth,20,20,20,20,20,20,20,20,20,15,15,15,20,20,15,20,15
Lewisham,20,15,15,10,15,15,15,15,15,15,10,10,10,10,10,10,15
Merton,10,10,10,10,15,15,15,15,15,15,15,15,15,10,10,10,10
Newham,20,20,20,20,15,20,15,20,15,15,15,15,15,10,10,10,10
Redbridge,20,20,20,20,20,20,15,20,20,15,15,15,15,20,15,15,10
Richmond upon Thames,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15
Southwark,25,25,25,20,15,15,20,20,20,15,15,15,15,15,10,10,15
Sutton,10,10,15,15,15,15,10,15,15,15,10,10,10,10,10,10,10
Tower Hamlets,10,10,15,10,10,10,15,20,15,15,15,10,10,15,10,10,10
Waltham Forest,20,25,20,20,20,20,20,15,20,15,15,15,10,10,15,15,15
Wandsworth,30,35,35,30,30,25,30,30,30,25,25,25,25,20,20,20,20
Westminster,145,130,120,110,110,120,115,120,125,115,115,120,115,120,110,105,100
