,All recorded offences,,,,,,,,,,,,,,,,,,Violence Against the Person,,,,,,,,,,,,,,,,,,Sexual Offences,,,,,,,,,,,,,,,,,,Robbery,,,,,,,,,,,,,,,,,,Burglary,,,,,,,,,,,,,,,,,,Theft and Handling,,,,,,,,,,,,,,,,,,Fraud or Forgery,,,,,,,,,,,,,,,,,,Criminal Damage,,,,,,,,,,,,,,,,,,Drugs,,,,,,,,,,,,,,,,,,Other Notifiable Offences,,,,,,,,,,,,,,,,,
Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,"19,567","20,253","20,538","20,394","22,144","21,442","22,062","21,384","19,536","19,987","19,843","19,177","18,825","17,240","16,104","16,235","17,477","14,638","3,210","3,604","3,941","4,392","4,902","5,224","5,288","5,150","4,953","5,273","5,212","4,476","4,119","3,761","4,200","5,171","6,097","5,093",186,210,211,251,235,244,258,263,288,205,267,262,275,258,300,403,413,396,514,731,861,686,802,739,775,805,619,756,834,937,"1,030",667,526,486,588,429,"2,563","1,970","2,220","2,012","2,240","2,175","1,921","2,117","1,555","2,061","2,430","2,213","2,436","2,540","2,006","1,874","1,534","1,046","6,624","6,864","7,017","6,665","7,129","6,691","7,194","6,540","6,174","5,644","5,666","6,315","6,244","6,242","5,879","5,186","5,349","4,836","2,193","2,387","2,032","1,766","1,738","1,832","1,800","1,585","1,196","1,192","1,306","1,209","1,259",695,30,25,24,16,"3,666","3,909","3,607","3,495","4,066","3,874","3,953","3,696","3,193","3,041","2,643","2,418","2,090","1,673","1,647","1,673","1,952","1,571",444,406,467,868,782,418,647,985,"1,315","1,521","1,133","1,012","1,028","1,140","1,213","1,089","1,170",934,167,172,182,259,250,245,226,243,243,294,352,335,344,264,303,328,350,317
Barnet,"30,708","30,213","32,274","34,338","36,288","37,887","34,871","29,920","26,645","26,374","26,273","25,701","26,281","25,364","22,724","23,192","24,978","21,549","4,244","4,574","4,842","5,246","5,817","7,183","6,393","5,512","5,240","5,184","4,856","4,430","4,154","4,077","4,557","6,080","7,165","6,516",244,220,245,292,266,379,309,301,269,247,318,303,297,300,356,429,482,464,876,"1,041","1,335","1,059","1,082","1,211","1,226","1,063",957,892,971,964,"1,200","1,073",710,539,622,371,"4,550","4,107","3,954","4,039","3,978","4,045","4,363","3,904","4,099","3,758","4,244","4,615","4,914","4,806","3,970","3,670","3,878","2,670","10,999","11,326","12,074","13,649","14,542","15,557","15,200","11,818","10,163","10,198","9,781","9,700","10,132","10,458","9,670","9,068","9,246","8,528","3,918","3,100","3,930","4,111","4,331","3,717","2,004","2,076",974,"1,472","1,519","1,452","1,891","1,444",45,34,54,27,"5,110","5,064","5,092","5,066","5,273","4,690","4,410","3,949","3,355","2,965","2,714","2,689","2,362","1,974","1,965","2,092","2,256","1,846",494,484,546,622,633,808,750,"1,015","1,292","1,322","1,562","1,271","1,074",938,"1,129",905,846,732,273,297,256,254,366,297,216,282,296,336,308,277,257,294,322,375,429,395
Bexley,"20,680","21,072","21,200","19,752","20,344","18,859","20,011","16,997","16,811","16,171","15,451","13,739","12,168","12,335","11,837","12,280","12,644","11,163","3,151","3,209","3,339","3,555","4,051","4,129","4,373","3,742","3,228","3,458","3,797","3,062","2,721","2,842","2,772","3,610","4,135","3,856",155,189,222,204,159,255,199,181,153,137,177,175,169,178,247,278,298,318,289,417,501,339,388,402,473,448,392,376,287,318,317,242,257,203,170,187,"2,951","2,583","2,394","2,341","2,226","1,986","2,366","2,076","2,180","2,248","2,010","1,914","1,513","1,683","1,783","1,405","1,096",892,"7,846","7,832","6,964","6,743","6,630","5,590","6,136","4,917","5,598","5,256","4,878","4,412","4,019","4,406","4,248","4,247","4,238","3,706","1,339","1,267","1,429","1,326","1,371","1,098","1,076",833,714,621,670,596,657,432,11,6,10,11,"4,390","4,938","5,726","4,563","4,843","4,720","4,682","4,031","3,442","2,911","2,595","2,133","1,673","1,545","1,398","1,526","1,610","1,435",375,441,437,512,481,500,512,556,937,994,861,973,937,801,886,746,703,492,184,196,188,169,195,179,194,213,167,170,176,156,162,206,235,259,384,266
Brent,"33,253","32,513","33,276","33,537","35,837","35,582","35,140","30,474","28,126","27,213","29,046","29,492","31,592","27,260","24,476","25,101","26,128","23,237","5,407","5,775","5,688","6,297","7,371","9,135","8,253","6,216","5,930","6,485","7,016","7,092","7,287","6,193","6,410","8,072","8,778","7,858",337,339,334,287,374,298,319,336,343,287,313,341,341,379,366,489,527,500,"2,014","1,941","2,359","1,795","1,807","2,084","2,355","2,144","2,185","1,679","1,862","2,021","2,207","1,454","1,124",853,968,736,"4,560","4,441","4,099","3,859","4,062","3,987","3,904","3,330","3,420","3,475","3,730","3,625","3,975","3,706","2,854","2,591","2,717","2,220","10,388","10,371","10,831","11,285","12,239","11,159","11,371","10,330","8,777","7,794","8,475","8,344","8,965","8,193","7,778","7,701","8,657","7,784","4,952","4,115","4,098","4,380","4,149","3,244","1,913","1,487","1,127","1,426","1,550","1,333","1,484","1,174",34,20,38,29,"4,272","4,349","4,520","4,252","4,473","3,921","3,610","3,300","2,911","2,661","2,749","2,566","2,363","2,079","2,047","2,155","2,143","1,926",969,850,"1,021","1,076","1,025","1,298","3,094","2,949","3,107","3,104","2,977","3,734","4,514","3,653","3,405","2,724","1,862","1,711",354,332,326,306,337,456,321,382,326,302,374,436,456,429,458,496,438,473
Bromley,"26,474","26,142","28,638","30,276","30,918","30,761","30,793","28,424","25,195","26,350","23,781","22,031","21,903","20,248","19,445","20,434","21,137","17,243","3,224","3,800","3,843","4,728","5,004","5,762","5,499","5,697","5,046","5,575","5,342","4,844","4,574","4,100","4,427","5,966","6,673","5,625",166,186,232,240,233,308,293,261,244,225,280,241,256,239,310,394,413,381,518,685,917,702,863,729,901,"1,115",776,790,596,652,702,590,539,387,362,322,"3,652","3,263","3,580","3,596","3,472","3,776","3,926","3,588","3,334","3,629","3,597","2,999","3,424","3,293","3,066","2,520","2,556","1,769","10,866","10,325","11,618","11,892","11,731","10,390","11,038","9,684","8,727","9,344","7,602","7,628","7,696","8,018","7,672","7,537","7,573","6,375","2,026","1,399","1,713","2,342","2,289","2,217","1,960","1,326","1,130","1,237","1,445","1,533","1,396",564,13,17,32,28,"5,283","5,791","5,994","5,973","6,510","6,627","6,241","5,526","4,652","4,110","3,316","2,808","2,592","2,161","2,047","2,304","2,259","1,836",525,445,506,546,571,724,762,996,"1,068","1,197","1,280","1,081","1,058","1,028","1,098",947,859,560,214,248,235,257,245,228,173,231,218,243,323,245,205,255,273,362,410,347
Camden,"45,800","46,778","53,103","53,890","51,016","45,432","42,236","42,435","35,398","34,175","33,773","34,205","35,799","32,840","28,646","28,428","30,185","25,390","5,342","5,327","5,473","5,817","6,419","7,656","7,370","6,586","5,799","6,014","5,817","5,876","5,545","5,030","4,638","6,058","7,507","6,463",295,318,416,353,425,535,459,339,240,197,305,349,377,331,350,478,619,494,"1,645","1,906","2,439","1,765","1,334","1,315","1,260","1,597","1,333","1,000","1,109","1,264","1,396","1,064",954,882,"1,013",769,"5,192","5,305","5,857","5,884","4,843","4,171","4,108","4,322","3,863","3,496","3,283","3,348","3,325","2,928","3,124","2,903","2,810","2,153","21,873","24,076","28,098","29,450","27,359","22,660","21,310","21,693","17,238","14,971","16,188","17,235","18,863","17,767","15,399","13,951","14,256","12,163","4,827","3,457","4,010","3,323","3,392","3,170","1,952","1,138",745,915,907,"1,117","1,131","1,296",45,42,31,38,"4,557","4,633","5,073","5,280","4,899","4,053","3,723","3,800","2,981","2,619","2,495","2,272","2,114","1,780","1,584","1,704","1,946","1,659","1,677","1,409","1,315","1,627","1,876","1,547","1,737","2,445","2,794","4,462","3,253","2,359","2,690","2,178","2,100","1,962","1,538","1,212",392,347,422,391,469,325,317,515,405,501,416,385,358,466,452,448,465,439
Croydon,"37,743","35,221","37,450","38,618","37,043","35,004","34,859","31,510","30,587","32,789","33,210","32,292","32,775","31,109","28,202","28,804","28,951","25,777","5,880","6,327","6,206","7,642","7,944","8,604","7,763","6,741","6,370","6,929","7,069","6,629","6,681","6,521","6,557","8,914","10,084","9,004",302,392,384,427,384,411,352,354,372,397,451,472,484,474,555,691,743,683,"1,094","1,568","2,095","1,888","1,771","1,496","1,845","1,829","1,677","1,407","1,621","1,660","1,835","2,032","1,507",930,718,"1,096","4,720","3,779","4,131","4,115","3,769","3,230","3,582","3,464","3,681","4,040","4,126","4,351","4,491","4,122","3,806","3,075","2,630","2,281","13,274","12,582","13,386","13,853","12,687","11,565","12,017","10,251","9,337","10,138","10,711","10,870","10,931","11,103","10,499","9,797","9,459","8,053","4,484","3,136","3,806","3,572","3,533","3,121","2,900","2,073","1,616","1,859","1,855","1,727","1,906","1,058",22,31,46,31,"7,012","6,487","6,386","5,657","5,737","5,474","5,079","5,014","4,715","4,557","4,377","3,839","3,545","2,927","2,837","2,943","3,114","2,794",676,715,760,"1,141",861,782,"1,048","1,515","2,466","3,039","2,548","2,299","2,459","2,393","2,019","1,877","1,463","1,199",301,235,296,323,357,321,273,269,353,423,452,445,443,479,400,546,694,636
Ealing,"38,737","38,572","39,128","40,147","37,927","36,418","37,295","36,734","33,963","32,747","33,654","35,030","32,575","30,003","25,886","25,941","27,032","23,684","6,652","6,430","6,842","7,143","7,150","8,009","7,878","7,641","7,722","7,642","8,048","8,111","7,138","6,939","6,284","7,891","9,243","7,990",360,344,342,359,355,388,326,319,307,314,338,377,406,375,481,518,560,475,"1,702","1,510","2,264","1,823","1,473","1,565","2,012","2,359","1,549","1,355","1,446","1,601","1,483","1,185",849,608,669,565,"4,616","4,637","4,533","4,543","4,375","4,350","4,999","3,957","4,251","3,870","3,796","3,833","3,870","3,926","3,307","2,907","2,473","2,122","13,730","14,989","15,209","16,310","14,443","13,894","13,476","13,117","10,959","10,233","10,844","12,267","11,425","11,306","10,398","9,540","9,543","8,715","3,888","3,226","2,954","3,305","3,197","1,952","1,800","1,400","1,275","2,393","2,618","2,305","2,236","1,081",46,66,53,44,"6,379","6,217","5,818","5,258","5,661","4,679","4,816","4,981","3,944","3,448","3,537","3,555","3,096","2,463","2,300","2,352","2,502","2,142","1,016",841,762,976,814,"1,117","1,532","2,483","3,543","3,066","2,557","2,484","2,345","2,271","1,787","1,557","1,427","1,120",394,378,404,430,459,464,456,477,413,426,470,497,576,457,434,502,562,511
