Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,,,,,,,,,,,,,,,,,,
Barking and Dagenham,186,210,211,251,235,244,258,263,288,205,267,262,275,258,300,403,413,396
Barnet,244,220,245,292,266,379,309,301,269,247,318,303,297,300,356,429,482,464
Bexley,155,189,222,204,159,255,199,181,153,137,177,175,169,178,247,278,298,318
Brent,337,339,334,287,374,298,319,336,343,287,313,341,341,379,366,489,527,500
Bromley,166,186,232,240,233,308,293,261,244,225,280,241,256,239,310,394,413,381
Camden,295,318,416,353,425,535,459,339,240,197,305,349,377,331,350,478,619,494
Croydon,302,392,384,427,384,411,352,354,372,397,451,472,484,474,555,691,743,683
Ealing,360,344,342,359,355,388,326,319,307,314,338,377,406,375,481,518,560,475
Enfield,221,256,296,299,311,247,293,241,246,252,343,329,272,306,356,475,515,448
Greenwich,349,343,361,369,382,352,370,361,324,317,398,426,363,331,350,484,534,473
Hackney,377,371,370,370,415,454,463,385,375,420,461,414,371,377,436,555,648,604
Hammersmith and Fulham,244,222,219,262,268,226,223,209,247,232,217,251,203,262,285,348,402,365
Haringey,431,431,492,511,499,423,424,296,296,276,347,382,332,360,364,504,580,535
Harrow,153,123,118,133,138,193,156,200,168,161,205,172,170,202,219,275,276,243
Havering,145,158,173,178,181,159,213,147,132,178,220,220,193,183,215,440,370,316
Hillingdon,224,207,268,276,267,268,302,255,250,223,298,289,260,276,315,404,432,23
Hounslow,286,245,279,308,285,292,284,274,267,256,281,306,279,326,339,506,525,403
Islington,334,264,347,425,423,368,346,294,273,272,267,301,284,293,332,447,481,461
Kensington and Chelsea,182,139,191,306,265,318,211,201,154,170,155,169,179,205,221,339,301,449
Kingston upon Thames,116,120,153,150,162,181,176,152,150,113,149,178,166,163,150,227,238,292
Lambeth,532,561,544,584,491,602,577,468,413,491,559,542,509,490,557,758,873,220
Lewisham,394,372,389,459,376,407,380,411,370,371,373,372,435,418,474,597,630,733
Merton,130,118,187,178,158,216,204,177,202,215,185,212,183,180,231,206,309,580
Newham,347,334,433,433,484,449,389,360,340,327,461,469,432,390,538,640,826,240
Redbridge,180,194,240,231,235,281,207,204,200,270,230,228,288,254,340,485,526,609
Richmond upon Thames,134,94,112,104,101,174,139,129,149,118,136,138,168,154,139,211,248,424
Southwark,455,444,438,457,500,479,457,455,347,415,470,502,504,425,494,645,673,252
Sutton,128,97,115,135,135,170,190,139,154,188,195,177,205,209,220,288,275,646
Tower Hamlets,318,383,347,449,372,410,401,403,354,308,336,380,430,386,430,564,594,246
Waltham Forest,247,247,297,288,269,239,278,240,214,229,310,290,318,271,401,437,481,600
Wandsworth,278,291,364,368,344,333,328,342,343,336,336,358,334,331,377,460,600,424
Westminster,633,517,772,702,688,772,738,572,554,552,513,540,607,486,595,844,819,558
Heathrow,22,22,33,22,20,33,29,36,28,40,33,27,31,29,20,19,26,784
Inner London,"4,820","4,647","5,322","5,679","5,550","5,776","5,396","4,735","4,306","4,367","4,800","5,029","4,997","4,754","5,453","7,179","8,046","5,581"
Outer London,"4,063","4,082","4,569","4,709","4,630","5,055","4,868","4,534","4,432","4,332","5,094","5,136","5,093","5,058","5,890","7,640","8,165","8,274"
