,Any sexual assault (including attempts),,,Rape or assault by penetration (including attempts),,,Indecent exposure or unwanted sexual touching,,,Indecent exposure,,,Unwanted sexual touching,,,Unweighted base - number of adults4,,
,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All
,Percentage victims once or more,,,,,,,,,,,,,,,,,
ALL ADULTS,0.9,3.2,2.0,0.1,0.8,0.5,0.8,2.8,1.8,0.2,0.7,0.5,0.7,2.3,1.5," 24,774 "," 29,041 "," 53,815 "
,,,,,,,,,,,,,,,,,,
Age group,,,,,,,,,,,,,,,,,,
16-19,2.9,12.9,7.7,0.3,2.7,1.4,2.9,12.3,7.4,0.8,1.8,1.3,2.6,11.6,6.9, 782 , 745 ," 1,527 "
20-24,2.6,10.5,6.5,0.2,2.4,1.3,2.5,9.4,5.8,0.4,1.9,1.1,2.1,8.7,5.3," 1,248 "," 1,423 "," 2,671 "
25-34,1.2,3.2,2.2,0.1,0.9,0.5,1.1,2.8,1.9,0.3,0.6,0.5,0.8,2.4,1.6," 4,106 "," 5,264 "," 9,370 "
35-44,0.4,1.9,1.1,0.1,0.6,0.4,0.3,1.6,1.0,0.1,0.7,0.4,0.3,1.0,0.7," 4,502 "," 5,792 "," 10,294 "
45-54,0.4,1.6,1.0,0.1,0.5,0.3,0.3,1.3,0.8,0.1,0.6,0.3,0.3,0.9,0.6," 4,841 "," 5,709 "," 10,550 "
55-59,0.3,1.5,0.9,0.0,0.5,0.3,0.3,1.2,0.8,0.0,0.6,0.3,0.3,0.7,0.5," 2,471 "," 2,861 "," 5,332 "
60-74,0.2,0.6,0.4,0.0,0.2,0.1,0.2,0.5,0.3,0.1,0.2,0.1,0.1,0.3,0.2," 6,824 "," 7,247 "," 14,071 "
,,,,,,,,,,,,,,,,,,
Ethnic group,,,,,,,,,,,,,,,,,,
White,0.9,3.1,2.0,0.1,0.8,0.5,0.8,2.7,1.8,0.2,0.7,0.4,0.7,2.3,1.5,"21,801","25,753","47,554"
White - English/Welsh/Scottish/Northern Irish/British,0.9,3.2,2.1,0.1,0.9,0.5,0.9,2.8,1.8,0.2,0.7,0.4,0.7,2.4,1.6,"20,159","23,609","43,768"
White - Irish,0.0,6.6,3.7,0.0,1.5,0.8,0.0,5.4,3.0,0.0,1.4,0.8,0.0,4.1,2.3,159,209,368
White - Gypsy/Irish traveller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,11,17
White - Any other white background,0.6,2.0,1.3,0.2,0.3,0.2,0.6,1.7,1.1,0.2,0.5,0.4,0.4,1.5,1.0,"1,477","1,924","3,401"
Mixed,1.7,5.4,3.6,0.0,0.7,0.4,1.7,5.4,3.6,0.5,1.2,0.9,1.2,4.3,2.8,314,397,711
Mixed - White and Black Caribbean,1.7,5.7,4.0,0.0,1.2,0.7,1.7,5.7,4.0,0.0,1.3,0.7,1.7,4.5,3.3,90,140,230
