,Any sexual assault (including attempts),,,Rape or assault by penetration (including attempts),,,Indecent exposure or unwanted sexual touching,,,Indecent exposure,,,Unwanted sexual touching,,,Unweighted base - number of adults4,,
,Men,Women ,All,Men,Women ,All,Men,Women ,All,Men,Women ,All,Men,Women ,All,Men,Women ,All
,Percentage victims once or more,,,,,,,,,,,,,,,,,
ALL ADULTS,0.9,3.2,2.0,0.1,0.8,0.5,0.8,2.8,1.8,0.2,0.7,0.5,0.7,2.3,1.5," 24,774 "," 29,041 "," 53,815 "
,,,,,,,,,,,,,,,,,,
Structure of household,,,,,,,,,,,,,,,,,,
Single adult and child(ren),0.4,2.9,2.7,0.0,1.2,1.1,0.4,2.2,2.0,0.4,0.8,0.7,0.0,1.7,1.5,269,"2,810","3,079"
Adults and child(ren),0.5,2.4,1.5,0.1,0.6,0.3,0.4,2.2,1.3,0.2,0.6,0.4,0.3,1.7,1.0,"6,352","7,423","13,775"
Adult(s) and no child(ren),1.0,3.5,2.2,0.1,0.9,0.5,1.0,3.1,2.0,0.2,0.7,0.5,0.8,2.7,1.7,"18,153","18,808","36,961"
,,,,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,,,,
Owner occupiers,0.5,2.2,1.4,0.0,0.5,0.3,0.4,2.0,1.2,0.2,0.6,0.4,0.3,1.6,1.0,"16,190","18,137","34,327"
Social renters,0.8,3.1,2.1,0.1,1.3,0.8,0.7,2.5,1.7,0.4,0.8,0.6,0.5,1.9,1.3,"3,059","5,042","8,101"
Private renters,1.8,5.7,3.6,0.2,1.3,0.8,1.7,4.9,3.2,0.2,1.1,0.6,1.5,4.5,2.9,"5,406","5,714","11,120"
,,,,,,,,,,,,,,,,,,
Accommodation type,,,,,,,,,,,,,,,,,,
Houses,0.8,2.9,1.9,0.1,0.7,0.4,0.8,2.6,1.7,0.2,0.7,0.4,0.6,2.1,1.4,"20,835","25,033","45,868"
Detached,0.6,2.5,1.5,0.1,0.6,0.3,0.5,2.2,1.4,0.1,0.4,0.2,0.4,1.9,1.2,"6,347","6,833","13,180"
Semi-detached,0.6,2.7,1.7,0.1,0.8,0.5,0.6,2.4,1.5,0.2,0.7,0.5,0.4,1.9,1.2,"7,447","9,057","16,504"
Terraced,1.2,3.5,2.4,0.1,0.8,0.5,1.2,3.0,2.1,0.2,0.8,0.5,1.1,2.5,1.8,"7,041","9,143","16,184"
Flats/maisonettes,1.1,4.7,2.8,0.1,1.2,0.6,1.0,4.2,2.6,0.3,1.1,0.7,0.8,3.7,2.2,"3,820","3,896","7,716"
Other,-,-,0.7,-,-,0.0,-,-,0.7,-,-,0.0,-,-,0.7,40,44,84
,,,,,,,,,,,,,,,,,,
Output area classification,,,,,,,,,,,,,,,,,,
Rural residents,0.7,2.5,1.6,0.1,0.8,0.4,0.5,2.0,1.3,0.1,0.3,0.2,0.5,1.7,1.1,"3,312","3,806","7,118"
