,Since the age of 16,,,,In the last year,,
,Men,Women,All,,Men,Women,All
,Percentage who were victims once or more,,,,,,
,,,,,,,
Any sexual assault (including attempts)3,4.7,22.9,13.9,,0.7,2.9,1.8
Rape or assault by penetration (including attempts),0.5,7.1,3.8,,0.1,0.8,0.5
Rape or assault by penetration (excluding attempts),0.4,6.0,3.2,,0.0,0.6,0.3
- Rape including attempts,0.4,6.2,3.3,,0.0,0.6,0.3
- Rape excluding attempts,0.3,5.1,2.7,,0.0,0.4,0.2
- Assault by penetration including attempts,0.3,4.8,2.5,,0.0,0.5,0.3
- Assault by penetration excluding attempts,0.2,3.6,1.9,,0.0,0.3,0.2
Indecent exposure or unwanted sexual touching,4.5,21.7,13.2,,0.7,2.5,1.6
- Indecent exposure,1.3,10.2,5.8,,0.2,0.5,0.3
- Unwanted sexual touching,3.6,16.8,10.2,,0.6,2.2,1.4
